GivenName,Surname,StreetAddress,EmailAddress,TelephoneNumber,BrowserUserAgent
Peggie,Free,"4723 Owagner Lane",PeggieRFree@fleckens.hu,206-239-9461,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
Cheryl,Williams,"4403 Preston Street",CherylPWilliams@fleckens.hu,623-330-8559,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Carlos,Lawson,"771 Polk Street",CarlosJLawson@cuvox.de,520-891-9497,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.132"
Quentin,Lee,"4498 Meadow View Drive",QuentinGLee@superrito.com,860-545-3865,"Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0"
Lindsay,Johnson,"3507 Murphy Court",LindsaySJohnson@einrot.com,951-928-7537,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Michael,Kimura,"543 Barrington Court",MichaelDKimura@jourrapide.com,870-583-2852,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
Michael,Amos,"1844 Harron Drive",MichaelSAmos@einrot.com,443-487-6252,"Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0"
Robert,Clinkscales,"4762 Parkway Street",RobertAClinkscales@einrot.com,760-330-6543,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Sammie,Ruggerio,"779 Ritter Street",SammieJRuggerio@jourrapide.com,256-306-2050,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Gloria,Herrmann,"4883 Hide A Way Road",GloriaCHerrmann@armyspy.com,408-226-6911,"Mozilla/5.0 (X11; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0"
Clinton,Landa,"3311 Willison Street",ClintonCLanda@cuvox.de,763-354-1935,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:66.0) Gecko/20100101 Firefox/66.0"
Cynthia,Wiley,"4443 Charter Street",CynthiaAWiley@cuvox.de,913-754-7616,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Tony,Turner,"768 Elliott Street",TonyFTurner@dayrep.com,603-536-6651,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Steven,Johns,"2910 Grant Street",StevenTJohns@teleworm.us,903-863-5812,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
Leslie,Spence,"2543 Ruckman Road",LesliePSpence@cuvox.de,405-741-0452,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:66.0) Gecko/20100101 Firefox/66.0"
Annie,Peters,"191 Rosebud Avenue",AnnieEPeters@fleckens.hu,870-481-8633,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134"
Richard,Arteaga,"4702 Wilkinson Court",RichardPArteaga@einrot.com,239-476-7383,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 YaBrowser/19.4.0.2397 Yowser/2.5 Safari/537.36"
Duane,Kells,"3227 Grand Avenue",DuaneCKells@cuvox.de,407-713-5187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Marcus,Darr,"2474 Hickory Lane",MarcusADarr@rhyta.com,202-522-1529,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
Bruce,Green,"863 Centennial Farm Road",BruceSGreen@gustr.com,712-725-2664,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
Angela,Green,"3230 Cameron Road",AngelaCGreen@armyspy.com,716-358-8585,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
Cynthia,Moya,"2988 Wilkinson Street",CynthiaJMoya@superrito.com,615-452-6884,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Sergio,Hinze,"3899 Stonepot Road",SergioMHinze@armyspy.com,908-395-3056,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"
Mary,Falbo,"1894 Florence Street",MaryKFalbo@cuvox.de,903-503-6759,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/73.0.3683.86 Chrome/73.0.3683.86 Safari/537.36"
Eugene,Carter,"4604 Goff Avenue",EugeneJCarter@rhyta.com,269-539-5475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
Ben,Dickens,"980 White Pine Lane",BenMDickens@fleckens.hu,540-622-3403,"Mozilla/5.0 (Windows NT 6.1; rv:60.0) Gecko/20100101 Firefox/60.0"
Laura,Tompson,"2777 Traction Street",LauraCTompson@gustr.com,864-505-9571,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
Jason,Holiman,"4840 Dane Street",JasonCHoliman@einrot.com,509-249-5859,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
Anthony,Arnold,"4062 Hill Croft Farm Road",AnthonyEArnold@gustr.com,530-456-9974,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
Michael,Wheaton,"863 Wayside Lane",MichaelMWheaton@teleworm.us,510-269-0113,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0"
